id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30801201,Rental unit in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1 bath,16545847,Victor,,Inner Richmond,37.78397,-122.46476,Entire home/apt,325,1,104,8/14/2023,1.89,2,81,15,STR-0005568
30801321,Resort in San Francisco · ★5.0 · 1 bedroom · 2 beds · 1 private bath,5805679,Laurence,,Downtown/Civic Center,37.78899002,-122.4127884,Private room,585,3,3,9/22/2022,0.05,33,3,1,Exempt
30801433,Resort in San Francisco · 1 bedroom · 2 beds · 1 private bath,5805679,Laurence,,Downtown/Civic Center,37.78899,-122.41279,Private room,385,3,0,,,33,0,0,Exempt
30803785,Resort in San Francisco · 1 bedroom · 2 beds · 1 private bath,5805679,Laurence,,Downtown/Civic Center,37.78899002,-122.4127884,Private room,385,3,1,9/22/2022,0.09,33,3,1,Exempt
30803873,Resort in San Francisco · 1 bedroom · 2 beds · 1 private bath,5805679,Laurence,,Downtown/Civic Center,37.78899,-122.41279,Private room,585,3,0,,,33,0,0,Exempt
30805198,Hostel in San Francisco · ★4.63 · 1 bedroom · 1 bed · 6 shared baths,117141107,Zarinah,,Haight Ashbury,37.76942,-122.44991,Shared room,50,1,8,6/30/2019,0.14,43,0,0,License not needed per OSTR
30805783,Hostel in San Francisco · ★4.82 · 1 bedroom · 1 bed · 6 shared baths,117141107,Zarinah,,Haight Ashbury,37.76942,-122.44991,Shared room,50,1,17,10/29/2019,0.3,43,0,0,License not needed per OSTR
30816842,Home in San Francisco · ★4.96 · 1 bedroom · 1 bed · 1 private bath,3617002,Sarah & Pankaj,,Potrero Hill,37.76258,-122.4042,Private room,113,1,173,8/23/2023,3.1,7,350,57,STR-0005136
30817227,Home in San Francisco · ★4.90 · 1 bedroom · 1 bed · 1 private bath,3617002,Sarah & Pankaj,,Potrero Hill,37.76241,-122.40497,Private room,103,1,157,8/25/2023,2.8,7,351,50,STR-0005136
30821293,Condo in San Francisco · ★4.76 · 1 bedroom · 1 bed · 1 bath,10622144,Jefferson,,South of Market,37.775082,-122.407234,Entire home/apt,107,2,74,7/21/2023,1.31,4,272,8,STR-0005052
30851994,Rental unit in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1 bath,105646223,Terri,,Potrero Hill,37.75612,-122.40199,Entire home/apt,220,3,99,8/14/2023,1.77,1,1,20,2023-001747STR
30854154,Townhouse in San Francisco · 1 bedroom · 1 bed · 1.5 shared baths,35509920,Nancy,,Bayview,37.72906,-122.37307,Private room,110,30,0,,,2,365,0,
30881800,Home in San Francisco · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,20536324,Shannon,,West of Twin Peaks,37.73294,-122.45706,Private room,80,29,20,8/26/2021,0.35,2,67,0,STR-0004209
30890889,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,17010953,Jessica,,Mission,37.76724,-122.42399,Entire home/apt,175,30,0,,,1,0,0,
